Symbol	Class
<UNK>	Constant
term6	Predicate
person100	Constant
person80	Constant
term10	Predicate
person37	Constant
person72	Constant
term12	Predicate
person49	Constant
person39	Constant
term4	Predicate
person12	Constant
person87	Constant
term20	Predicate
person10	Constant
person48	Constant
term11	Predicate
person63	Constant
term8	Predicate
person36	Constant
person45	Constant
person68	Constant
person40	Constant
person82	Constant
term5	Predicate
person90	Constant
person13	Constant
term17	Predicate
person17	Constant
person69	Constant
person103	Constant
person0	Constant
term15	Predicate
term9	Predicate
person65	Constant
person11	Constant
person9	Constant
person92	Constant
person62	Constant
person102	Constant
person66	Constant
person70	Constant
term1	Predicate
person73	Constant
person18	Constant
person60	Constant
term18	Predicate
person26	Constant
person50	Constant
person89	Constant
person38	Constant
term13	Predicate
person81	Constant
person14	Constant
term7	Predicate
person21	Constant
person53	Constant
person67	Constant
person28	Constant
person24	Constant
person95	Constant
person51	Constant
person3	Constant
person41	Constant
person99	Constant
term0	Predicate
person96	Constant
person7	Constant
term16	Predicate
person54	Constant
person15	Constant
person1	Constant
person29	Constant
term2	Predicate
person78	Constant
person31	Constant
person83	Constant
person33	Constant
term3	Predicate
person2	Constant
person58	Constant
person52	Constant
person79	Constant
person27	Constant
person32	Constant
person76	Constant
person85	Constant
person101	Constant
person8	Constant
person35	Constant
person23	Constant
person5	Constant
person64	Constant
person77	Constant
term22	Predicate
person86	Constant
person93	Constant
person91	Constant
person4	Constant
person42	Constant
person22	Constant
person19	Constant
person47	Constant
person20	Constant
person46	Constant
person25	Constant
person75	Constant
person71	Constant
person56	Constant
term21	Predicate
person43	Constant
person88	Constant
person6	Constant
person57	Constant
person94	Constant
person61	Constant
person16	Constant
person98	Constant
person55	Constant
term14	Predicate
person97	Constant
person74	Constant
person84	Constant
person30	Constant
person34	Constant
person59	Constant
person44	Constant
term19	Predicate
term25	Predicate
term24	Predicate
