Symbol	Class
<UNK>	Constant
militaryalliance	Predicate
netherlands	Constant
uk	Constant
intergovorgs3	Predicate
egypt	Constant
usa	Constant
relbooktranslations	Predicate
jordan	Constant
timesincewar	Predicate
poland	Constant
ussr	Constant
negativebehavior	Predicate
relintergovorgs	Predicate
weightedunvote	Predicate
india	Constant
accusation	Predicate
china	Constant
unweightedunvote	Predicate
embassy	Predicate
commonbloc1	Predicate
cuba	Constant
indonesia	Constant
commonbloc2	Predicate
israel	Constant
ngoorgs3	Predicate
brazil	Constant
exports3	Predicate
economicaid	Predicate
booktranslations	Predicate
relexports	Predicate
intergovorgs	Predicate
independence	Predicate
reltreaties	Predicate
ngo	Predicate
blockpositionindex	Predicate
burma	Constant
relstudents	Predicate
aidenemy	Predicate
eemigrants	Predicate
officialvisits	Predicate
unoffialacts	Predicate
releconomicaid	Predicate
commonbloc0	Predicate
expeldiplomats	Predicate
relngo	Predicate
students	Predicate
nonviolentbehavior	Predicate
reldiplomacy	Predicate
tourism	Predicate
timesinceally	Predicate
conferences	Predicate
relexportbooks	Predicate
treaties	Predicate
militaryactions	Predicate
exportbooks	Predicate
boycottembargo	Predicate
negativecomm	Predicate
tourism3	Predicate
reltourism	Predicate
pprotests	Predicate
emigrants3	Predicate
duration	Predicate
attackembassy	Predicate
dependent	Predicate
violentactions	Predicate
relemigrants	Predicate
warning	Predicate
lostterritory	Predicate
severdiplomatic	Predicate
