Symbol	Class
<UNK>	Constant
location_of	Predicate
acquired_abnormality	Constant
experimental_model_of_disease	Constant
manifestation_of	Predicate
anatomical_abnormality	Constant
physiologic_function	Constant
isa	Predicate
alga	Constant
entity	Constant
affects	Predicate
mental_or_behavioral_dysfunction	Constant
associated_with	Predicate
health_care_activity	Constant
interacts_with	Predicate
population_group	Constant
age_group	Constant
result_of	Predicate
clinical_attribute	Constant
natural_phenomenon_or_process	Constant
body_part_organ_or_organ_component	Constant
biologic_function	Constant
complicates	Predicate
biologically_active_substance	Constant
disease_or_syndrome	Constant
carbohydrate	Constant
vitamin	Constant
molecular_sequence	Constant
spatial_concept	Constant
steroid	Constant
mental_process	Constant
occurs_in	Predicate
professional_or_occupational_group	Constant
uses	Predicate
patient_or_disabled_group	Constant
clinical_drug	Constant
produces	Predicate
nucleic_acid_nucleoside_or_nucleotide	Constant
chemical_viewed_structurally	Constant
degree_of	Predicate
organism_function	Constant
cell_or_molecular_dysfunction	Constant
connected_to	Predicate
body_substance	Constant
human_caused_phenomenon_or_process	Constant
process_of	Predicate
archaeon	Constant
therapeutic_or_preventive_procedure	Constant
organ_or_tissue_function	Constant
pharmacologic_substance	Constant
co-occurs_with	Predicate
cell_function	Constant
pathologic_function	Constant
disrupts	Predicate
enzyme	Constant
fully_formed_anatomical_structure	Constant
cell	Constant
amino_acid_peptide_or_protein	Constant
cell_component	Constant
hormone	Constant
organic_chemical	Constant
behavior	Constant
group	Constant
issue_in	Predicate
biomedical_occupation_or_discipline	Constant
molecular_function	Constant
neuroreactive_substance_or_biogenic_amine	Constant
part_of	Predicate
amphibian	Constant
embryonic_structure	Constant
occupation_or_discipline	Constant
immunologic_factor	Constant
bacterium	Constant
neoplastic_process	Constant
measures	Predicate
laboratory_procedure	Constant
fungus	Constant
prevents	Predicate
invertebrate	Constant
causes	Predicate
receptor	Constant
indicates	Predicate
self_help_or_relief_organization	Constant
research_activity	Constant
treats	Predicate
sign_or_symptom	Constant
rickettsia_or_chlamydia	Constant
genetic_function	Constant
regulation_or_law	Constant
intellectual_product	Constant
human	Constant
vertebrate	Constant
eicosanoid	Constant
element_ion_or_isotope	Constant
group_attribute	Constant
conceptual_entity	Constant
organism_attribute	Constant
finding	Constant
congenital_abnormality	Constant
anatomical_structure	Constant
molecular_biology_research_technique	Constant
evaluation_of	Predicate
diagnoses	Predicate
diagnostic_procedure	Constant
injury_or_poisoning	Constant
tissue	Constant
animal	Constant
social_behavior	Constant
hazardous_or_poisonous_substance	Constant
chemical_viewed_functionally	Constant
environmental_effect_of_humans	Constant
exhibits	Predicate
reptile	Constant
family_group	Constant
virus	Constant
ingredient_of	Predicate
indicator_reagent_or_diagnostic_aid	Constant
antibiotic	Constant
body_space_or_junction	Constant
fish	Constant
health_care_related_organization	Constant
plant	Constant
lipid	Constant
organization	Constant
property_of	Predicate
manages	Predicate
chemical	Constant
classification	Constant
assesses_effect_of	Predicate
method_of	Predicate
physical_object	Constant
organism	Constant
gene_or_genome	Constant
measurement_of	Predicate
laboratory_or_test_result	Constant
precedes	Predicate
consists_of	Predicate
performs	Predicate
activity	Constant
conceptual_part_of	Predicate
occupational_activity	Constant
analyzes	Predicate
substance	Constant
geographic_area	Constant
organophosphorus_compound	Constant
carries_out	Predicate
professional_society	Constant
body_location_or_region	Constant
event	Constant
mammal	Constant
research_device	Constant
inorganic_chemical	Constant
bird	Constant
phenomenon_or_process	Constant
manufactured_object	Constant
individual_behavior	Constant
qualitative_concept	Constant
daily_or_recreational_activity	Constant
biomedical_or_dental_material	Constant
quantitative_concept	Constant
developmental_form_of	Predicate
drug_delivery_device	Constant
educational_activity	Constant
machine_activity	Constant
nucleotide_sequence	Constant
body_system	Constant
food	Constant
carbohydrate_sequence	Constant
contains	Predicate
governmental_or_regulatory_activity	Constant
adjacent_to	Predicate
interconnects	Predicate
idea_or_concept	Constant
conceptually_related_to	Predicate
temporal_concept	Constant
medical_device	Constant
amino_acid_sequence	Constant
language	Constant
functional_concept	Constant
surrounds	Predicate
derivative_of	Predicate
practices	Predicate
#1_2_0	Param
#2_2_0	Param
#1_2_1	Param
#2_2_1	Param
#1_2_2	Param
#2_2_2	Param
#1_2_3	Param
#2_2_3	Param
#1_2_4	Param
#2_2_4	Param
#1_2_5	Param
#2_2_5	Param
#1_2_6	Param
#2_2_6	Param
#1_2_7	Param
#2_2_7	Param
#1_2_8	Param
#2_2_8	Param
#1_2_9	Param
#2_2_9	Param
#1_2_10	Param
#2_2_10	Param
#1_2_11	Param
